Outletid,OutletName,DistCode,DistributorName,MainChannelCode,MainChannelType,SM_Code,SM_Name,ASM_Code,ASM_Name,RSE_Code,RSE_Name,PSR_Code,PSR_Desc
"C026258","GOUTAM SAHA","C000317","SHREE ENTERPRISE","MC0015","GROCERIES","E0696","RAJIB BISWAS","E0666","RAJAT KANTI KARAR","E0966","BISWAJIT NARU","PSR0852","SIDHESWAR CHATTERJEE"
"C026259","TINKU DAS (DAS TELECOM)","C000317","SHREE ENTERPRISE","MC0018","PAAN PLUS","E0696","RAJIB BISWAS","E0666","RAJAT KANTI KARAR","E0966","BISWAJIT NARU","PSR0852","SIDHESWAR CHATTERJEE"
"C026260","SARBAN CHOWRASIA","C000317","SHREE ENTERPRISE","MC0018","PAAN PLUS","E0696","RAJIB BISWAS","E0666","RAJAT KANTI KARAR","E0966","BISWAJIT NARU","PSR0852","SIDHESWAR CHATTERJEE"
"C026261","KALAM STORE","C000317","SHREE ENTERPRISE","MC0001","CONVENIENCE","E0696","RAJIB BISWAS","E0666","RAJAT KANTI KARAR","E0966","BISWAJIT NARU","PSR0852","SIDHESWAR CHATTERJEE"
"C026262","GITA STORE","C000317","SHREE ENTERPRISE","MC0015","GROCERIES","E0696","RAJIB BISWAS","E0666","RAJAT KANTI KARAR","E0966","BISWAJIT NARU","PSR0852","SIDHESWAR CHATTERJEE"
"C026263","MAA DURGA BHANDER","C000317","SHREE ENTERPRISE","MC0015","GROCERIES","E0696","RAJIB BISWAS","E0666","RAJAT KANTI KARAR","E0966","BISWAJIT NARU","PSR0852","SIDHESWAR CHATTERJEE"
"C026264","BISWAJIT GHOSH","C000317","SHREE ENTERPRISE","MC0015","GROCERIES","E0696","RAJIB BISWAS","E0666","RAJAT KANTI KARAR","E0966","BISWAJIT NARU","PSR0852","SIDHESWAR CHATTERJEE"
"C026265","PRABHATI BARUA","C000317","SHREE ENTERPRISE","MC0001","CONVENIENCE","E0696","RAJIB BISWAS","E0666","RAJAT KANTI KARAR","E0966","BISWAJIT NARU","PSR0852","SIDHESWAR CHATTERJEE"
"C026266","GAYATRI STORES","C000317","SHREE ENTERPRISE","MC0015","GROCERIES","E0696","RAJIB BISWAS","E0666","RAJAT KANTI KARAR","E0966","BISWAJIT NARU","PSR0852","SIDHESWAR CHATTERJEE"
"C026267","GOPAL NASKAR","C000317","SHREE ENTERPRISE","MC0015","GROCERIES","E0696","RAJIB BISWAS","E0666","RAJAT KANTI KARAR","E0966","BISWAJIT NARU","PSR0852","SIDHESWAR CHATTERJEE"
"C026269","AGARWAL STORES","C000317","SHREE ENTERPRISE","MC0001","CONVENIENCE","E0696","RAJIB BISWAS","E0666","RAJAT KANTI KARAR","E0966","BISWAJIT NARU","PSR0852","SIDHESWAR CHATTERJEE"
"C026270","LOKNATH STORE","C000317","SHREE ENTERPRISE","MC0001","CONVENIENCE","E0696","RAJIB BISWAS","E0666","RAJAT KANTI KARAR","E0966","BISWAJIT NARU","PSR0852","SIDHESWAR CHATTERJEE"
"C026271","RAVI KUMAR SHAW","C000317","SHREE ENTERPRISE","MC0015","GROCERIES","E0696","RAJIB BISWAS","E0666","RAJAT KANTI KARAR","E0966","BISWAJIT NARU","PSR0852","SIDHESWAR CHATTERJEE"
"C032853","LOKMAN MOLLA","C000336","MODERN DRINKS TRADERS","MC0016","MASS EATERIES","E0998","SUBHRA CHATTERJEE","E1001","TANMOY KUMAR KAR","E0778","MAHASIN SARDAR","PSR0235","RAJ KUMAR SARDAR"
"C032854","ARMAN ENTERPRISE (PAKAPOLE BAZAR)","C000336","MODERN DRINKS TRADERS","MC0005","WHOLESALE","E0998","SUBHRA CHATTERJEE","E1001","TANMOY KUMAR KAR","E0778","MAHASIN SARDAR","PSR0235","RAJ KUMAR SARDAR"
